,Gender,Shift,Injury Location,Age_grouping,scaled_DaysLost,scaled_IncidentCost,Incident Type_Burn,Incident Type_Crush & Pinch,Incident Type_Cut,Incident Type_Equipment,Incident Type_Fall,Incident Type_Falling object,Incident Type_Lifting,Incident Type_Slip/trip,Incident Type_Vehicle
392,0,0,3,4,0.0,0.0,0,0,0,1,0,0,0,0,0
393,0,0,0,5,0.0,0.0,0,0,0,0,0,0,0,1,0
394,0,0,0,5,0.0,0.0,0,0,0,0,0,0,1,0,0
395,0,1,0,5,0.0,0.0,0,0,0,0,0,0,0,1,0
396,0,1,1,4,0.0,0.0,0,0,0,0,1,0,0,0,0
398,0,1,0,2,0.0,0.0,0,0,0,0,0,1,0,0,0
399,1,1,2,4,0.0,0.0,0,0,0,0,0,0,1,0,0
400,0,1,1,3,0.0,0.0,0,0,0,0,0,0,1,0,0
401,0,1,2,5,0.0,0.0,0,1,0,0,0,0,0,0,0
402,0,0,1,3,0.0,0.0,0,0,0,0,0,0,0,1,0
403,1,1,1,4,0.0,0.0,0,0,0,1,0,0,0,0,0
404,0,0,1,3,0.0,0.0,0,1,0,0,0,0,0,0,0
405,0,1,0,3,0.0,0.0,0,1,0,0,0,0,0,0,0
406,0,1,0,4,0.0,0.0,0,1,0,0,0,0,0,0,0
407,0,1,2,2,0.0,0.0,0,0,0,0,0,0,1,0,0
408,0,1,0,2,0.0,0.0,0,0,0,1,0,0,0,0,0
409,1,0,0,5,0.0,0.0,0,0,0,0,0,0,1,0,0
411,1,0,2,3,0.0,0.0,0,1,0,0,0,0,0,0,0
412,0,1,0,5,0.0,0.0,0,0,0,0,0,0,0,1,0
413,0,1,1,3,0.0,0.0,0,0,0,0,0,0,0,0,1
414,0,1,0,3,0.0,0.0,0,0,1,0,0,0,0,0,0
415,0,1,4,4,0.0,0.0,0,0,1,0,0,0,0,0,0
416,0,0,1,4,0.0,0.0,0,0,0,0,0,0,0,1,0
417,0,1,1,5,0.0,0.0,0,0,1,0,0,0,0,0,0
418,0,0,2,3,0.0,0.0,0,0,0,0,1,0,0,0,0
421,0,1,1,5,0.0,0.0,0,0,0,0,0,0,0,0,1
422,0,1,3,5,0.0,0.0,0,0,0,0,0,1,0,0,0
423,0,1,4,4,0.0,0.0,0,0,1,0,0,0,0,0,0
424,0,1,2,3,0.0,0.0,0,0,0,0,0,0,0,1,0
425,0,1,3,3,0.0,0.0,0,0,0,0,0,0,0,0,1
426,0,0,0,3,0.0,0.0,0,0,1,0,0,0,0,0,0
427,1,1,2,4,0.0,0.0,0,0,0,1,0,0,0,0,0
428,0,0,4,5,0.0,0.0,0,0,0,0,1,0,0,0,0
429,0,1,3,4,0.0,0.0,0,0,0,0,1,0,0,0,0
430,0,0,3,5,0.0,0.0,0,0,0,0,0,1,0,0,0
431,0,0,4,5,0.0,0.0,0,0,0,0,1,0,0,0,0
432,0,1,1,5,0.0,0.0,0,0,0,0,1,0,0,0,0
433,0,1,0,3,0.0,0.0,0,0,0,0,0,0,0,1,0
434,0,1,0,4,0.0,0.0,0,0,0,0,0,1,0,0,0
435,0,1,0,2,0.0,0.0,0,0,0,0,0,0,1,0,0
436,0,1,0,2,0.0,0.0,0,0,0,0,0,0,0,0,1
437,0,1,1,4,0.0,0.0,0,0,0,0,1,0,0,0,0
438,0,1,0,3,0.0,0.0,0,0,0,0,1,0,0,0,0
439,0,0,2,2,0.0,0.0,0,0,0,0,0,0,0,1,0
440,0,1,3,2,0.0,0.0,0,0,0,0,0,0,0,0,1
441,1,0,0,4,0.0,0.0,0,0,0,0,0,0,1,0,0
442,0,1,0,3,0.0,0.0,0,0,0,0,0,0,0,1,0
443,0,1,4,4,0.0,0.0,0,0,0,0,0,0,1,0,0
444,0,1,0,5,0.0,0.0,0,0,0,1,0,0,0,0,0
445,0,0,2,1,0.0,0.0,0,0,0,0,1,0,0,0,0
446,0,1,2,4,0.0,0.0,0,0,0,0,0,1,0,0,0
447,0,1,3,5,0.0,0.0,0,1,0,0,0,0,0,0,0
448,0,1,3,5,0.0,0.0,1,0,0,0,0,0,0,0,0
449,0,1,4,5,0.0,0.0,0,0,0,0,0,1,0,0,0
450,0,1,0,3,0.0,0.0,0,0,0,0,0,1,0,0,0
451,0,1,4,3,0.0,0.0,0,0,1,0,0,0,0,0,0
452,0,1,3,4,0.0,0.0,0,0,0,0,0,0,0,0,1
453,0,1,0,5,0.0,0.0,0,0,0,0,0,1,0,0,0
454,0,1,2,4,0.0,0.0,0,0,0,0,0,0,0,0,1
455,0,1,2,3,0.0,0.0,1,0,0,0,0,0,0,0,0
456,1,1,1,5,0.0,0.0,0,0,0,0,1,0,0,0,0
457,0,1,2,4,0.0,0.0,0,0,0,0,0,0,0,0,1
458,0,1,0,4,0.0,0.0,0,0,1,0,0,0,0,0,0
459,1,1,1,3,0.0,0.0,0,0,0,0,0,0,1,0,0
460,0,1,4,4,0.0,0.0,0,0,0,0,0,1,0,0,0
461,0,1,0,4,0.0,0.0,0,0,0,0,0,0,0,0,1
462,0,1,4,4,0.0,0.0,0,0,0,0,0,0,1,0,0
463,0,1,0,1,0.0,0.0,1,0,0,0,0,0,0,0,0
464,0,1,4,5,0.0,0.0,0,0,0,0,0,0,1,0,0
465,0,0,0,3,0.0,0.0,1,0,0,0,0,0,0,0,0
466,0,1,1,5,0.0,0.0,0,0,0,0,0,1,0,0,0
468,0,1,0,3,0.0,0.0,0,0,0,0,0,1,0,0,0
469,0,1,2,3,0.0,0.0,0,0,0,0,0,0,0,1,0
470,0,0,1,5,0.0,0.0,0,0,0,0,1,0,0,0,0
471,0,1,4,5,0.0,0.0,0,0,0,0,0,0,0,0,1
472,0,0,2,4,0.0,0.0,1,0,0,0,0,0,0,0,0
473,0,1,3,1,0.0,0.0,0,0,0,0,0,0,1,0,0
474,0,1,3,3,0.0,0.0,0,0,0,0,0,1,0,0,0
475,0,1,1,1,0.0,0.0,0,0,0,0,0,1,0,0,0
476,0,1,3,5,0.0,0.0,0,0,0,1,0,0,0,0,0
477,0,0,0,4,0.0,0.0,0,0,0,0,0,1,0,0,0
478,0,1,3,4,0.0,0.0,0,0,0,0,0,0,0,0,1
479,0,1,4,1,0.0,0.0,0,0,0,0,0,0,1,0,0
480,0,1,1,2,0.0,0.0,0,0,1,0,0,0,0,0,0
481,0,1,3,3,0.0,0.0,0,0,0,0,1,0,0,0,0
482,0,0,2,3,0.0,0.0,0,0,1,0,0,0,0,0,0
483,0,1,0,4,0.0,0.0,0,0,1,0,0,0,0,0,0
484,0,0,0,2,0.0,0.0,0,0,0,0,1,0,0,0,0
485,0,1,4,3,0.0,0.0,0,0,1,0,0,0,0,0,0
486,0,0,1,3,0.0,0.0,0,0,0,0,0,0,1,0,0
487,0,1,4,5,0.0,0.0,0,0,0,0,1,0,0,0,0
488,0,1,1,5,0.0,0.0,0,0,0,0,0,0,1,0,0
490,0,0,2,2,0.0,0.0,0,0,0,0,1,0,0,0,0
491,0,1,4,5,0.0,0.0,0,0,0,0,0,0,0,1,0
492,0,0,4,3,0.0,0.0,0,0,0,1,0,0,0,0,0
494,0,1,2,3,0.0,0.0,0,0,0,0,0,0,0,1,0
495,0,1,1,4,0.0,0.0,0,0,0,0,0,0,0,0,1
496,0,0,3,5,0.0,0.0,0,0,0,0,0,1,0,0,0
497,0,0,2,2,0.0,0.0,0,1,0,0,0,0,0,0,0
498,0,1,4,4,0.0,0.0,0,0,0,0,0,0,0,0,1
499,0,1,0,2,0.0,0.0,1,0,0,0,0,0,0,0,0
500,0,1,4,2,0.0,0.0,0,0,0,0,0,0,0,0,1
501,0,1,1,3,0.0,0.0,0,0,0,1,0,0,0,0,0
502,0,0,4,2,0.0,0.0,0,0,0,0,0,0,1,0,0
503,0,1,4,5,0.0,0.0,0,0,0,0,0,0,0,0,1
504,0,1,3,5,0.0,0.0,0,0,0,0,0,0,0,1,0
505,0,1,2,3,0.0,0.0,0,0,0,0,0,0,0,1,0
506,0,0,2,3,0.0,0.0,1,0,0,0,0,0,0,0,0
507,1,0,4,5,0.0,0.0,0,0,0,0,0,0,0,0,1
508,0,0,1,5,0.0,0.0,0,0,1,0,0,0,0,0,0
509,1,1,0,3,0.0,0.0,0,0,0,0,0,0,1,0,0
510,0,1,0,3,0.0,0.0,0,0,0,0,0,0,0,1,0
511,0,1,0,2,0.0,0.0,0,1,0,0,0,0,0,0,0
512,0,1,4,3,0.0,0.0,0,0,0,0,0,0,1,0,0
513,0,1,4,5,0.0,0.0,0,0,1,0,0,0,0,0,0
